"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"255","60607",5,4,3,2,4,0,4,0,0,3,0,0,0,0,0,NA,NA,456,456,1331,1331,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"256","60608",19,9,9,10,13,4,9,30.7692307692308,3,6,33.3333333333333,4,3,0,0,Inf,Inf,691,827,2432,2657,20,20,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"257","60609",28,6,21,7,22,5,17,22.7272727272727,4,17,19.047619047619,5,4,0,0,Inf,Inf,704,892,1302,1596,201,201,"15.01 - 20%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","201 - 300","201 - 300","01 - 10"
"258","60610",6,1,2,4,3,0,3,0,0,2,0,0,0,0,0,NA,NA,463,463,632,632,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"259","60611",1,1,0,1,2,0,2,0,0,0,NA,0,0,0,0,NA,NA,36,36,737,737,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
"260","60612",22,4,15,7,16,2,14,12.5,2,13,13.3333333333333,2,2,0,0,Inf,Inf,497,688,959,1171,16,16,"10.01 - 15.0%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"261","60613",7,1,4,3,5,2,3,40,2,2,50,2,2,0,0,Inf,Inf,390,390,449,449,207,207,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","201 - 300","201 - 300","01 - 10"
"262","60614",4,8,2,2,7,0,7,0,0,2,0,0,0,0,0,NA,NA,208,208,2124,2124,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"263","60615",18,5,16,2,20,1,19,5,1,15,6.25,1,1,0,0,Inf,Inf,240,326,512,628,8,8,"Greater than 30%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"264","60616",9,10,4,5,5,3,2,60,3,1,75,3,3,0,0,Inf,Inf,358,382,1844,2608,86,86,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"265","60617",84,4,54,30,67,18,49,26.865671641791,15,39,27.7777777777778,18,15,0,0,Inf,Inf,1163,1778,2262,3188,176,176,"20.01 - 30.0%","11 - 15","21 - 30%","16 - 21","11 - 15","More than 50%","101 - 200","101 - 200","21 - 30"
"266","60618",49,5,39,10,42,8,34,19.047619047619,7,32,17.9487179487179,8,7,0,0,Inf,Inf,1659,1847,2710,2919,217,217,"15.01 - 20%","06 - 10","14 - 20%","06 - 10","06 - 10","More than 50%","201 - 300","201 - 300","01 - 10"
"267","60619",87,3,59,28,73,18,55,24.6575342465753,13,46,22.0338983050847,18,14,0,0,Inf,Inf,1831,2450,2383,3375,392,348,"20.01 - 30.0%","11 - 15","21 - 30%","16 - 21","11 - 15","More than 50%","301 - 400","301 - 400","21 - 30"
"268","60620",87,3,45,42,53,15,38,28.3018867924528,12,33,26.6666666666667,15,13,0,0,Inf,Inf,1170,1783,2202,3256,179,167,"20.01 - 30.0%","11 - 15","21 - 30%","11 - 15","11 - 15","More than 50%","101 - 200","101 - 200","42 - 44"
"269","60621",31,5,18,13,20,3,17,15,2,16,11.1111111111111,3,2,0,0,Inf,Inf,648,879,976,1274,16,16,"10.01 - 15.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","11 - 20"
"270","60622",8,4,4,4,6,5,1,83.3333333333333,4,0,100,5,4,0,0,Inf,Inf,286,291,1352,1412,182,182,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"271","60623",46,11,35,11,38,4,34,10.5263157894737,4,31,11.4285714285714,4,4,0,0,Inf,Inf,683,947,1816,2124,45,45,"10.01 - 15.0%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","11 - 20"
"272","60624",42,6,26,16,32,4,28,12.5,2,24,7.69230769230769,4,3,0,0,Inf,Inf,743,1008,1133,1465,283,16,"Greater than 30%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","201 - 300","016 - 30","11 - 20"
"273","60625",26,4,12,14,14,3,11,21.4285714285714,3,9,25,3,3,0,0,Inf,Inf,931,1255,1662,2089,133,133,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","11 - 20"
"274","60626",6,1,4,2,6,1,5,16.6666666666667,0,4,0,1,0,0,0,Inf,NA,302,315,1001,1235,0,0,"0%","0","14 - 20%","01 - 5","0",NA,"0","0","01 - 10"
"275","60627",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,16,16,16,16,0,0,"0%","0","0","0","0",NA,"0","0","0"
"276","60628",75,5,53,22,62,17,45,27.4193548387097,15,38,28.3018867924528,17,16,0,0,Inf,Inf,1201,1754,2464,3305,320,312,"20.01 - 30.0%","11 - 15","21 - 30%","16 - 21","16 - 19","More than 50%","301 - 400","301 - 400","21 - 30"
"277","60629",111,1,85,26,89,18,71,20.2247191011236,14,71,16.4705882352941,19,18,0,0,Inf,Inf,1416,2070,1995,2801,304,211,"15.01 - 20%","11 - 15","More than 50%","16 - 21","16 - 19","More than 50%","301 - 400","201 - 300","21 - 30"
"278","60630",14,0,13,1,14,4,10,28.5714285714286,4,9,30.7692307692308,4,4,0,0,Inf,Inf,162,196,357,402,32,32,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"279","60631",3,2,3,0,4,1,3,25,1,2,33.3333333333333,1,1,0,0,Inf,Inf,204,204,488,488,33,33,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","0"
"280","60632",55,6,40,15,43,10,33,23.2558139534884,8,32,20,10,9,0,0,Inf,Inf,829,1158,1365,1722,266,258,"15.01 - 20%","06 - 10","21 - 30%","06 - 10","06 - 10","More than 50%","201 - 300","201 - 300","11 - 20"
"281","60633",9,0,8,1,10,2,8,20,2,6,25,2,2,0,0,Inf,Inf,306,338,479,544,13,13,"20.01 - 30.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"282","60634",37,4,22,15,26,9,17,34.6153846153846,7,15,31.8181818181818,9,8,0,0,Inf,Inf,568,696,1485,1710,126,118,"Greater than 30%","06 - 10","31 - 50%","06 - 10","06 - 10","More than 50%","101 - 200","101 - 200","11 - 20"
"283","60636",47,2,24,23,24,11,13,45.8333333333333,11,13,45.8333333333333,11,11,0,0,Inf,Inf,703,1196,1223,1879,187,187,"Greater than 30%","11 - 15","31 - 50%","11 - 15","11 - 15","More than 50%","101 - 200","101 - 200","21 - 30"
"284","60637",29,6,18,11,20,7,13,35,5,13,27.7777777777778,7,5,0,0,Inf,Inf,492,684,1407,1742,188,188,"20.01 - 30.0%","01 - 5","31 - 50%","06 - 10","01 - 5","More than 50%","101 - 200","101 - 200","11 - 20"
"285","60638",14,3,12,2,12,2,10,16.6666666666667,2,10,16.6666666666667,2,2,0,0,Inf,Inf,265,306,515,564,41,41,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"286","60639",51,4,30,21,36,10,26,27.7777777777778,6,24,20,10,8,0,0,Inf,Inf,1048,1346,2357,2895,66,52,"15.01 - 20%","06 - 10","21 - 30%","06 - 10","06 - 10","More than 50%","051 - 100","051 - 100","21 - 30"
"287","60640",19,7,10,9,12,2,10,16.6666666666667,2,8,20,2,2,0,0,Inf,Inf,946,961,1746,1761,141,141,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"288","60641",35,2,24,11,27,3,24,11.1111111111111,3,21,12.5,3,3,0,0,Inf,Inf,500,695,984,1221,27,27,"10.01 - 15.0%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","11 - 20"
"289","60642",5,3,3,2,6,0,6,0,0,3,0,0,0,0,0,NA,NA,269,281,701,713,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"290","60643",65,3,47,18,50,12,38,24,8,39,17.0212765957447,12,10,0,0,Inf,Inf,1157,1638,1530,2191,270,250,"15.01 - 20%","06 - 10","21 - 30%","11 - 15","06 - 10","More than 50%","201 - 300","201 - 300","11 - 20"
"291","60644",71,6,61,10,69,21,48,30.4347826086957,19,42,31.1475409836066,22,19,0,0,Inf,Inf,822,1265,1385,1992,298,298,"Greater than 30%","16 - 19","More than 50%","16 - 21","16 - 19","More than 50%","201 - 300","201 - 300","01 - 10"
"292","60645",14,0,6,8,8,3,5,37.5,2,4,33.3333333333333,3,2,0,0,Inf,Inf,237,293,622,723,20,20,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"293","60646",7,1,2,5,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,121,126,414,419,43,43,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"294","60647",20,13,16,4,20,5,15,25,5,11,31.25,5,5,0,0,Inf,Inf,434,517,2503,2849,38,38,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"295","60649",39,2,26,13,32,10,22,31.25,7,19,26.9230769230769,10,7,0,0,Inf,Inf,898,1102,1429,1731,155,155,"20.01 - 30.0%","06 - 10","31 - 50%","06 - 10","06 - 10","More than 50%","101 - 200","101 - 200","11 - 20"
"296","60651",60,8,45,15,51,12,39,23.5294117647059,10,35,22.2222222222222,12,12,0,0,Inf,Inf,681,1020,1791,2351,117,102,"20.01 - 30.0%","06 - 10","21 - 30%","11 - 15","11 - 15","More than 50%","101 - 200","101 - 200","11 - 20"
"297","60652",57,2,42,15,48,15,33,31.25,12,30,28.5714285714286,15,13,0,0,Inf,Inf,826,1356,1309,2090,159,151,"20.01 - 30.0%","11 - 15","31 - 50%","11 - 15","11 - 15","More than 50%","101 - 200","101 - 200","11 - 20"
"298","60653",12,8,7,5,12,3,9,25,3,4,42.8571428571429,3,3,0,0,Inf,Inf,91,136,615,789,22,22,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"299","60654",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,124,124,414,414,0,0,"0%","0","0","0","0",NA,"0","0","0"
"300","60655",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,12,18,12,18,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"301","60656",3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,NA,NA,52,64,115,127,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"302","60657",13,4,3,10,3,0,3,0,0,3,0,0,0,0,0,NA,NA,623,630,1590,1597,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"303","60659",10,0,9,1,14,2,12,14.2857142857143,1,8,11.1111111111111,2,1,0,0,Inf,Inf,95,167,920,1064,12,12,"10.01 - 15.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"304","60660",7,2,5,2,5,1,4,20,1,4,20,1,1,0,0,Inf,Inf,222,222,420,420,22,22,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"305","60661",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,102,102,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"306","60706",5,0,4,1,4,1,3,25,1,3,25,1,1,0,0,Inf,Inf,210,210,210,210,121,121,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"307","60707",24,3,13,11,16,5,11,31.25,5,8,38.4615384615385,5,5,0,0,Inf,Inf,325,435,693,823,43,43,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","11 - 20"
"308","60712",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,166,166,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"309","60714",2,0,1,1,3,2,1,66.6666666666667,1,0,100,2,1,0,0,Inf,Inf,98,104,296,302,11,11,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"310","60803",3,0,2,1,3,0,3,0,0,2,0,0,0,0,0,NA,NA,131,131,216,216,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"311","60804",63,8,45,18,49,18,31,36.734693877551,8,37,17.7777777777778,18,16,0,0,Inf,Inf,1116,1332,1596,1816,218,100,"15.01 - 20%","06 - 10","31 - 50%","16 - 21","16 - 19","More than 50%","201 - 300","051 - 100","11 - 20"
"312","60805",11,2,7,4,11,4,7,36.3636363636364,2,5,28.5714285714286,4,2,0,0,Inf,Inf,143,203,185,287,15,15,"20.01 - 30.0%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"313","60827",30,5,23,7,26,2,24,7.69230769230769,2,21,8.69565217391304,2,2,0,0,Inf,Inf,1159,1318,1587,1880,10,10,"Greater than 30%","01 - 5","01 - 13%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"314","60901",7,4,3,4,4,0,4,0,0,3,0,0,0,0,0,NA,NA,97,137,601,867,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"315","60910",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,68,68,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"316","60911",2,0,2,0,2,1,1,50,0,2,0,1,1,0,0,Inf,Inf,16,16,16,16,8,0,"0%","0","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","0","0"
"317","60914",9,5,2,7,2,0,2,0,0,2,0,0,0,0,0,NA,NA,514,528,608,657,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"318","60915",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,13,24,37,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"319","60917",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"320","60922",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,97,194,97,194,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"321","60924",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"322","60927",3,0,3,0,3,0,3,0,0,3,0,0,0,0,0,NA,NA,22,22,22,22,0,0,"0%","0","0","0","0",NA,"0","0","0"
"323","60928",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"324","60936",10,2,5,5,5,4,1,80,0,5,0,4,4,0,0,Inf,Inf,80,87,111,118,32,0,"0%","0","More than 50%","01 - 5","01 - 5","More than 50%","030 - 50","0","01 - 10"
"325","60938",1,0,1,0,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,8,8,8,8,8,8,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","0"
"326","60940",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"327","60942",11,1,9,2,10,0,10,0,0,9,0,0,0,0,0,NA,NA,95,125,151,185,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"328","60948",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,11,8,11,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"329","60950",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,113,113,199,199,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"330","60951",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"331","60953",2,0,2,0,3,0,3,0,0,2,0,0,0,0,0,NA,NA,16,16,24,24,0,0,"0%","0","0","0","0",NA,"0","0","0"
"332","60954",1,1,1,0,2,1,1,50,0,1,0,1,0,0,0,Inf,NA,8,15,15,29,0,0,"0%","0","31 - 50%","01 - 5","0",NA,"0","0","0"
"333","60955",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"334","60957",10,0,4,6,4,1,3,25,0,4,0,1,1,0,0,Inf,Inf,152,158,172,178,8,0,"0%","0","21 - 30%","01 - 5","01 - 5","More than 50%","005 - 15","0","01 - 10"
"335","60963",1,0,1,0,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,77,77,77,77,77,77,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","0"
"336","60964",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,24,29,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"337","60966",2,0,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,103,109,103,109,96,96,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","0"
"338","60970",10,0,10,0,10,4,6,40,2,8,20,4,4,0,0,Inf,Inf,105,114,105,114,57,14,"15.01 - 20%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","051 - 100","005 - 15","0"
"339","61006",2,0,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,15,15,15,15,7,7,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","0"
"340","61008",7,7,2,5,4,0,4,0,0,2,0,0,0,0,0,NA,NA,188,204,604,661,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"341","61010",9,4,2,7,4,1,3,25,0,2,0,1,0,0,0,Inf,NA,76,83,125,137,0,0,"0%","0","21 - 30%","01 - 5","0",NA,"0","0","01 - 10"
"342","61011",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,20,20,20,20,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"343","61012",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,16,8,16,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"344","61013",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"345","61014",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,4,4,4,4,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"346","61016",3,0,2,1,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,24,29,36,53,8,8,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"347","61018",0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,82,90,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"348","61020",1,4,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,4,4,118,131,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"349","61021",15,3,5,10,5,1,4,20,0,5,0,1,1,0,0,Inf,Inf,536,565,705,762,12,0,"0%","0","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","0","01 - 10"
"350","61024",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"351","61025",3,1,0,3,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,94,94,121,121,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"352","61028",3,0,0,3,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,20,20,20,20,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"353","61030",2,1,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,15,30,23,38,0,0,"0%","0","0","0","0",NA,"0","0","0"
"354","61031",2,1,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,14,14,22,22,0,0,"0%","0","0","0","0",NA,"0","0","0"
"355","61032",14,0,3,11,4,3,1,75,3,0,100,3,3,0,0,Inf,Inf,386,418,599,707,167,167,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","11 - 20"
"356","61036",5,0,2,3,2,0,2,0,0,2,0,0,0,0,0,NA,NA,51,51,165,165,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"357","61046",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,8,8,8,8,0,0,"0%","0","0","0","0",NA,"0","0","0"
"358","61048",4,0,1,3,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,39,39,83,83,11,11,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"359","61051",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,8,8,8,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"360","61052",2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,14,14,14,14,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"361","61053",2,0,1,1,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,16,22,16,22,8,8,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"362","61054",3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,NA,NA,27,39,27,39,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"363","61060",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,16,16,24,24,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"364","61061",4,1,2,2,2,0,2,0,0,2,0,0,0,0,0,NA,NA,155,155,162,162,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"365","61062",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,3,3,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"366","61063",2,3,2,0,3,1,2,33.3333333333333,1,1,50,1,1,0,0,Inf,Inf,14,20,46,56,6,6,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","0"
"367","61064",1,0,0,1,1,0,1,0,0,0,NA,0,0,0,0,NA,NA,6,6,48,48,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
"368","61065",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,6,12,20,26,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"369","61068",8,1,5,3,5,1,4,20,1,4,20,1,1,0,0,Inf,Inf,87,112,95,120,7,7,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"370","61070",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,6,6,6,6,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"371","61071",9,4,4,5,6,1,5,16.6666666666667,0,4,0,1,1,0,0,Inf,Inf,114,138,146,180,8,0,"0%","0","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","0","01 - 10"
"372","61072",1,4,0,1,2,0,2,0,0,0,NA,0,0,0,0,NA,NA,18,18,63,68,0,0,NA,"0","0","0","0",NA,"0","0","01 - 10"
"373","61073",11,5,6,5,7,2,5,28.5714285714286,1,5,16.6666666666667,2,1,0,0,Inf,Inf,214,243,279,319,8,8,"15.01 - 20%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"374","61074",3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,NA,NA,36,36,36,36,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"375","61078",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,12,8,12,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"376","61080",9,4,6,3,6,1,5,16.6666666666667,1,5,16.6666666666667,1,1,0,0,Inf,Inf,68,91,234,257,8,8,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"377","61081",17,1,7,10,7,2,5,28.5714285714286,0,7,0,2,2,0,0,Inf,Inf,398,421,604,631,27,0,"0%","0","21 - 30%","01 - 5","01 - 5","More than 50%","016 - 29","0","01 - 10"
"378","61084",2,3,1,1,1,0,1,0,0,1,0,0,0,0,0,NA,NA,28,28,108,114,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"379","61085",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,16,16,16,16,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"380","61087",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,15,15,48,48,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"381","61088",4,2,3,1,4,0,4,0,0,3,0,0,0,0,0,NA,NA,43,62,64,83,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"382","61089",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,16,16,24,24,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"383","61101",12,3,7,5,10,2,8,20,1,6,14.2857142857143,2,1,0,0,Inf,Inf,293,357,421,580,8,8,"10.01 - 15.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"384","61102",6,4,3,3,6,1,5,16.6666666666667,0,3,0,1,0,0,0,Inf,NA,139,172,229,328,0,0,"0%","0","14 - 20%","01 - 5","0",NA,"0","0","01 - 10"
"385","61103",15,1,10,5,16,3,13,18.75,2,8,20,4,3,0,0,Inf,Inf,169,250,265,432,41,33,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"386","61104",9,2,5,4,9,2,7,22.2222222222222,2,3,40,2,2,0,0,Inf,Inf,385,430,679,793,139,139,"Greater than 30%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
