"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"158","60430",13,1,9,4,12,6,6,50,4,5,44.4444444444444,6,5,0,0,Inf,Inf,421,473,728,884,40,32,"Greater than 30%","01 - 5","31 - 50%","06 - 10","01 - 5","More than 50%","030 - 50","031 - 50","01 - 10"
"159","60431",7,9,1,6,1,0,1,0,0,1,0,0,0,0,0,NA,NA,95,108,200,238,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"160","60432",4,1,2,2,3,1,2,33.3333333333333,0,2,0,1,1,0,0,Inf,Inf,183,207,253,292,8,0,"0%","0","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","0","01 - 10"
"161","60433",7,1,1,6,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,56,87,84,131,8,8,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"162","60435",21,0,2,19,2,1,1,50,0,2,0,1,1,0,0,Inf,Inf,539,661,626,748,8,0,"0%","0","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","0","11 - 20"
"163","60436",8,0,2,6,2,0,2,0,0,2,0,0,0,0,0,NA,NA,262,302,444,484,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"164","60438",24,4,19,5,20,5,15,25,4,15,21.0526315789474,5,5,0,0,Inf,Inf,237,364,643,825,33,25,"20.01 - 30.0%","01 - 5","21 - 30%","01 - 5","01 - 5","More than 50%","030 - 50","016 - 30","01 - 10"
"165","60439",2,4,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,90,90,712,712,0,0,"0%","0","0","0","0",NA,"0","0","0"
"166","60440",41,8,4,37,4,0,4,0,0,4,0,0,0,0,0,NA,NA,631,806,861,1245,0,0,"0%","0","0","0","0",NA,"0","0","31 - 38"
"167","60441",2,2,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,16,32,313,348,0,0,NA,"0",NA,NA,"0",NA,"0","0","01 - 10"
"168","60442",2,3,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,119,122,369,372,7,7,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","0"
"169","60443",17,8,7,10,7,1,6,14.2857142857143,1,6,14.2857142857143,1,1,0,0,Inf,Inf,253,317,748,866,7,7,"10.01 - 15.0%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","01 - 10"
"170","60444",1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,49,49,49,49,0,0,"0%","0","0","0","0",NA,"0","0","0"
